"";"country";"date";"EthAl";"scode";"sname"
"62";"Faroe Islands";".";".";.;"Faroe Islands"
"63";"Fiji";"1996";".5479419999999999";950;"Fiji"
"64";"Finland";"2001";".1314973099999999";375;"Finland"
"65";"France";"1999";".1032168408080315";220;"France"
"66";"French Guiana";".";".";.;"French Guiana"
"67";"French Polynesia";".";".";.;"French Polynesia"
"68";"Gabon";"1983";".7689600000000001";481;"Gabon"
"69";"Gambia, The";"1993";".786402";420;"Gambia, The"
"70";"Gaza Strip";".";".";.;"Gaza Strip"
"71";"Georgia";"1989";".4922740000000002";372;"Georgia"
"72";"Germany";"1997";".1682020000000001";255;"Germany"
"73";"Ghana";"1983";".673332";452;"Ghana"
"74";"Greece";"1998";".1576300998479137";350;"Greece"
"75";"Greenland";".";".";.;"Greenland"
"76";"Grenada";"1991";".2661339999999999";55;"Grenada"
"77";"Guadeloupe";".";".";.;"Guadeloupe"
"78";"Guam";".";".";.;"Guam"
"79";"Guatemala";"2001";".5122";90;"Guatemala"
"80";"Guinea";"1990";".738942";438;"Guinea"
"81";"Guinea-Bissau";"1979";".808214";404;"Guinea-Bissau"
"82";"Guyana";"1993";".6194979999999999";110;"Guyana"
"83";"Haiti";"1993";".0950000000000001";41;"Haiti"
"84";"Honduras";"1987";".1867";91;"Honduras"
"85";"Hong Kong";"1994";".061952";997;"Hong Kong"
"86";"Hungary";"1993";".1522";310;"Hungary"
"87";"Iceland";"1995";".0797959999999998";395;"Iceland"
"88";"India";"2000";".4182";750;"India"
"89";"Indonesia";"1990";".7351340000000001";850;"Indonesia"
"90";"Iran";"1995";".6683999999999999";630;"Iran"
"91";"Iraq";"1983";".3689100000000002";645;"Iraq"
"92";"Ireland";"1995";".1206349999999999";205;"Ireland"
"93";"Isle of Man";".";".";.;"Isle of Man"
"94";"Israel";"1995";".3435937226940686";666;"Israel"
"95";"Italy";"1983";".1145190000000001";325;"Italy"
"96";"Jamaica";"1982";".4128940000000001";51;"Jamaica"
"97";"Japan";"1999";".0119279999999997";740;"Japan"
"98";"Jersey";".";".";.;"Jersey"
"99";"Jordan";"1993";".5926";663;"Jordan"
"100";"Kazakhstan";"1999";".6171219999999999";705;"Kazakhstan"
"101";"Kenya";"2001";".8588";501;"Kenya"
"102";"Kiribati";"1990";".0510539999999997";946;"Kiribati"
"103";"Korea, North";"1995";".0392000000000001";731;"Korea, North"
"104";"Korea, South";"1990";".0019979999999997";732;"Korea, South"
"105";"Kyrgyzstan";"2001";".6751819999999999";703;"Kyrgyzstan"
"106";"Kuwait";"2001";".6604";690;"Kuwait"
"107";"Lao People's Dem Rep";"1983";".513862";812;"Lao People's Dem Rep"
"108";"Latvia";"1996";".586668";367;"Latvia"
"109";"Lebanon";"1996";".1313999999999999";660;"Lebanon"
"110";"Lesotho";"1986";".255";570;"Lesotho"
"111";"Liberia";"1992";".908388";450;"Liberia"
"112";"Libya";"1995";".79203";620;"Libya"
"113";"Liechtenstein";"1997";".5726100000000001";223;"Liechtenstein"
"114";"Lithuania";"1996";".3222700000000002";368;"Lithuania"
"115";"Luxembourg";"1996";".5302380000000001";212;"Luxembourg"
"116";"Macau";".";".";.;"Macau"
"117";"Macedonia (Former Yug. Rep)";"1994";".5022579999999999";343;"Macedonia (Former Yug. Rep)"
"118";"Madagascar";"1985";".8791000000000001";580;"Madagascar"
"119";"Malawi";"1998";".6744";553;"Malawi"
"120";"Malaysia";"1996";".5879619999999999";820;"Malaysia"
"121";"Mali";"1996";".6906";432;"Mali"
"122";"Malta";"1996";".0414322107443801";338;"Malta"
"123";"Marshall Islands";"1988";".0603379999999998";983;"Marshall Islands"
"124";"Martinique";".";".";.;"Martinique"
"125";"Mauritania";"1992";".615";435;"Mauritania"
"126";"Mauritius";"1992";".4633999999999999";590;"Mauritius"
"127";"Mayotte";".";".";.;"Mayotte"
"128";"Mexico";"1990";".5418000000000001";70;"Mexico"
"129";"Micronesia";"1994";".7005359999999999";987;"Micronesia"
"130";"Moldova";"1989";".553478";359;"Moldova"
"131";"Monaco";"2001";".6838";221;"Monaco"
"132";"Mongolia";"1989";".3682240000000003";712;"Mongolia"
"133";"Morocco";"1994";".4840571792459799";600;"Morocco"
"134";"Mozambique";"1983";".6932160000000001";541;"Mozambique"
"135";"Myanmar (Burma)";"1983";".5061860000000001";775;"Myanmar (Burma)"
"136";"Namibia";"1995";".6329039999999999";565;"Namibia"
"137";"Nauru";"1995";".5831999999999999";970;"Nauru"
"138";"Nepal";"1991";".663222";790;"Nepal"
"139";"Netherlands Antilles";".";".";.;"Netherlands Antilles"
"140";"Netherlands";"1995";".1053722903125876";210;"Netherlands"
"141";"New Caledonia";".";".";.;"New Caledonia"
"142";"New Zealand";"1996";".39685";920;"New Zealand"
"143";"Nicaragua";"1991";".4844000000000002";93;"Nicaragua"
"144";"Niger";"1988";".651762";436;"Niger"
"145";"Nigeria";"1983";".85046";475;"Nigeria"
"146";"Northern Mariana Islands";".";".";.;"Northern Mariana Islands"
"147";"Norway";"1998";".0586";385;"Norway"
"148";"Oman";"1993";".4372560000000001";698;"Oman"
"149";"Pakistan";"1995";".7097999999999999";770;"Pakistan"
"150";"Palau";"2000";".4312000000000001";986;"Palau"
"151";"Panama";"1992";".5528";95;"Panama"
"152";"Papua New Guinea";"1993";".2718000000000002";910;"Papua New Guinea"
"153";"Paraguay";"1998";".1688999999999999";150;"Paraguay"
"154";"Peru";"1981";".656577";135;"Peru"
"155";"Philippines";"1998";".2385407321970182";840;"Philippines"
"156";"Poland";"1998";".1183395341893348";290;"Poland"
"157";"Portugal";"1998";".0467573696145123";235;"Portugal"
"158";"Puerto Rico";".";".";.;"Puerto Rico"
"159";"Qatar";"2001";".7456";694;"Qatar"
"160";"Reunion";".";".";.;"Reunion"
"161";"Romania";"1998";".3068702570167496";360;"Romania"
"162";"Russian Federation";"1997";".24517";365;"Russian Federation"
"163";"Rwanda";"1996";".3237999999999999";517;"Rwanda"
"164";"Saint Lucia";"1990";".1768620000000001";.;"Saint Lucia"
"165";"Saint Vincent and Grenadines";"1995";".306598";.;"Saint Vincent and Grenadines"
"166";"Western Samoa";"1995";".1376080000000001";.;"Western Samoa"
"167";"San Marino";"1997";".2927350000000001";331;"San Marino"
"168";"Sao Tome and Principe";".";".";403;"Sao Tome and Principe"
"169";"Saudi Arabia";"1995";".18";670;"Saudi Arabia"
"170";"Senegal";"1988";".6938839999999999";433;"Senegal"
"171";"Serbia/Montenegro (Yugoslavia)";"1991";".573588";345;"Serbia/Montenegro (Yugoslavia)"
"172";"Seychelles";"1983";".2024680000000001";591;"Seychelles"
"173";"Sierra Leone";"1993";".8190900000000002";451;"Sierra Leone"
"174";"Singapore";"2001";".385674";830;"Singapore"
"175";"Slovak Republic";"1996";".2538959999999998";317;"Slovak Republic"
"176";"Slovenia";"1991";".2216480000000001";349;"Slovenia"
"177";"Solomon Islands";"1986";".1110219999999998";940;"Solomon Islands"
"178";"Somalia";"1999";".8117";520;"Somalia"
"179";"South Africa";"1998";".7517428724324049";560;"South Africa"
"180";"Spain";"1991";".4164629999999999";230;"Spain"
"181";"Sri Lanka";"2001";".415";780;"Sri Lanka"
"182";"St Kitts & Nevis";"1998";".1841999999999999";60;"St Kitts & Nevis"
"183";"Sudan";"1983";".714712";625;"Sudan"
"184";"Suriname";"2001";".7332";115;"Suriname"
"185";"Swaziland";"2001";".0582";572;"Swaziland"
"186";"Sweden";"1998";".059993649765273";380;"Sweden"
"187";"Switzerland";"2001";".5314";225;"Switzerland"
"188";"Syria";"1993";".539922";652;"Syria"
"189";"Taiwan";"2001";".2744000000000002";713;"Taiwan"
"190";"Tajikistan";"2001";".510718";702;"Tajikistan"
"191";"Tanzania";"1995";".7352959999999999";510;"Tanzania"
"192";"Thailand";"1983";".6338239999999999";800;"Thailand"
"193";"Togo";"1995";".7099279999999999";461;"Togo"
"194";"Tonga";"1995";".086902";955;"Tonga"
"195";"Trinidad and Tobago";"2001";".6475300000000001";52;"Trinidad and Tobago"
"196";"Tunisia";"2001";".0394000000000001";616;"Tunisia"
"197";"Turkey";"2001";".32";640;"Turkey"
"198";"Turkmenistan";"1997";".3918340000000001";701;"Turkmenistan"
"199";"Tuvalu";"1979";".162936";947;"Tuvalu"
"200";"Uganda";"1983";".930175";500;"Uganda"
"201";"Ukraine";"1998";".4736719999999999";369;"Ukraine"
"202";"United Arab Emirates";"1993";".6252";696;"United Arab Emirates"
"203";"United Kingdom";"1994";".1210589999999999";200;"United Kingdom"
"204";"United States";"2000";".490111130469376";2;"United States"
"205";"Uruguay";"1990";".2504000000000001";165;"Uruguay"
"206";"Uzbekistan";"1995";".4125139999999999";704;"Uzbekistan"
"207";"Vanuatu";"1989";".0413379999999998";935;"Vanuatu"
"208";"Venezuela";"1993";".4966";101;"Venezuela"
"209";"Vietnam";"1995";".238308";816;"Vietnam"
"210";"Virgin Islands (U.S.)";".";".";.;"Virgin Islands (U.S.)"
"211";"West Bank";".";".";.;"West Bank"
"212";"Yemen";".";".";679;"Yemen"
"213";"Yugoslavia (pre 1991)";"1995";".8091600000000001";.;"Yugoslavia (pre 1991)"
"214";"Zambia";"1998";".7808";551;"Zambia"
"215";"Zimbabwe";"1998";".3874";552;"Zimbabwe"
"216";"";"";"";.;""
"217";"";"";"";.;""
"218";"";"";"";.;""
"219";"";"";"";.;""
"220";"";"";"";.;""
"221";"";"";"";.;""
"222";"";"";"";.;""
"223";"";"";"";.;""
"224";"";"";"";.;""
"225";"";"";"";.;""
"226";"";"";"";.;""
"227";"";"";"";.;""
"228";"";"";"";.;""
"229";"";"";"";.;""
"230";"";"";"";.;""
"231";"";"";"";.;""
"232";"";"";"";.;""
"233";"";"";"";.;""
"234";"";"";"";.;""
"235";"";"";"";.;""
"236";"";"";"";.;""
"237";"";"";"";.;""
"238";"";"";"";.;""
"239";"";"";"";.;""
"240";"";"";"";.;""
"241";"";"";"";.;""
"242";"";"";"";.;""
"243";"";"";"";.;""
"244";"";"";"";.;""
"245";"";"";"";.;""
"246";"";"";"";.;""
"247";"";"";"";.;""
"248";"";"";"";.;""
"249";"";"";"";.;""
"250";"";"";"";.;""
"251";"";"";"";.;""
"252";"";"";"";.;""
"253";"";"";"";.;""
"254";"";"";"";.;""
"255";"";"";"";.;""
"256";"";"";"";.;""
"257";"";"";"";.;""
"258";"";"";"";.;""
"259";"";"";"";.;""
"260";"";"";"";.;""
"261";"";"";"";.;""
"262";"";"";"";.;""
"263";"";"";"";.;""
"264";"";"";"";.;""
"265";"";"";"";.;""
"266";"";"";"";.;""
"267";"";"";"";.;""
"268";"";"";"";.;""
"269";"";"";"";.;""
"270";"";"";"";.;""
"271";"";"";"";.;""
"272";"";"";"";.;""
"273";"";"";"";.;""
"274";"";"";"";.;""
"275";"";"";"";.;""
"276";"";"";"";.;""
"277";"";"";"";.;""
"278";"";"";"";.;""
"279";"";"";"";.;""
"280";"";"";"";.;""
"281";"";"";"";.;""
"282";"";"";"";.;""
"283";"";"";"";.;""
"284";"";"";"";.;""
"285";"";"";"";.;""
"286";"";"";"";.;""
"287";"";"";"";.;""
"288";"";"";"";.;""
"289";"";"";"";.;""
"290";"";"";"";.;""
"291";"";"";"";.;""
"292";"";"";"";.;""
"293";"";"";"";.;""
"294";"";"";"";.;""
"295";"";"";"";.;""
"296";"";"";"";.;""
"297";"";"";"";.;""
"298";"";"";"";.;""
"299";"";"";"";.;""
"300";"";"";"";.;""
"301";"";"";"";.;""
"302";"";"";"";.;""
"303";"";"";"";.;""
"304";"";"";"";.;""
"305";"";"";"";.;""
"306";"";"";"";.;""
"307";"";"";"";.;""
"308";"";"";"";.;""
"309";"";"";"";.;""
"310";"";"";"";.;""
"311";"";"";"";.;""
"312";"";"";"";.;""
"313";"";"";"";.;""
"314";"";"";"";.;""
"315";"";"";"";.;""
"316";"";"";"";.;""
"317";"";"";"";.;""
"318";"";"";"";.;""
"319";"";"";"";.;""
"320";"";"";"";.;""
"321";"";"";"";.;""
"322";"";"";"";.;""
"323";"";"";"";.;""
"324";"";"";"";.;""
"325";"";"";"";.;""
"326";"";"";"";.;""
"327";"";"";"";.;""
"328";"";"";"";.;""
"329";"";"";"";.;""
"330";"";"";"";.;""
"331";"";"";"";.;""
"332";"";"";"";.;""
"333";"";"";"";.;""
"334";"";"";"";.;""
"335";"";"";"";.;""
"336";"";"";"";.;""
"337";"";"";"";.;""
"338";"";"";"";.;""
"339";"";"";"";.;""
"340";"";"";"";.;""
"341";"";"";"";.;""
"342";"";"";"";.;""
"343";"";"";"";.;""
"344";"";"";"";.;""
"345";"";"";"";.;""
"346";"";"";"";.;""
"347";"";"";"";.;""
"348";"";"";"";.;""
"349";"";"";"";.;""
"350";"";"";"";.;""
"351";"";"";"";.;""
"352";"";"";"";.;""
"353";"";"";"";.;""
"354";"";"";"";.;""
"355";"";"";"";.;""
"356";"";"";"";.;""
"357";"";"";"";.;""
"358";"";"";"";.;""
"359";"";"";"";.;""
"360";"";"";"";.;""
"361";"";"";"";.;""
"362";"";"";"";.;""
"363";"";"";"";.;""
"364";"";"";"";.;""
"365";"";"";"";.;""
"366";"";"";"";.;""
"367";"";"";"";.;""
"368";"";"";"";.;""
"369";"";"";"";.;""
"370";"";"";"";.;""
"371";"";"";"";.;""
"372";"";"";"";.;""
"373";"";"";"";.;""
"374";"";"";"";.;""
"375";"";"";"";.;""
"376";"";"";"";.;""
"377";"";"";"";.;""
"378";"";"";"";.;""
"379";"";"";"";.;""
"380";"";"";"";.;""
"381";"";"";"";.;""
"382";"";"";"";.;""
"383";"";"";"";.;""
"384";"";"";"";.;""
"385";"";"";"";.;""
"386";"";"";"";.;""
"387";"";"";"";.;""
"388";"";"";"";.;""
"389";"";"";"";.;""
"390";"";"";"";.;""
"391";"";"";"";.;""
"392";"";"";"";.;""
"393";"";"";"";.;""
"394";"";"";"";.;""
"395";"";"";"";.;""
"396";"";"";"";.;""
"397";"";"";"";.;""
"398";"";"";"";.;""
"399";"";"";"";.;""
"400";"";"";"";.;""
"401";"";"";"";.;""
"402";"";"";"";.;""
"403";"";"";"";.;""
"404";"";"";"";.;""
"405";"";"";"";.;""
"406";"";"";"";.;""
"407";"";"";"";.;""
"408";"";"";"";.;""
"409";"";"";"";.;""
"410";"";"";"";.;""
"411";"";"";"";.;""
"412";"";"";"";.;""
"413";"";"";"";.;""
"414";"";"";"";.;""
"415";"";"";"";.;""
"416";"";"";"";.;""
"417";"";"";"";.;""
"418";"";"";"";.;""
"419";"";"";"";.;""
"420";"";"";"";.;""
"421";"";"";"";.;""
"422";"";"";"";.;""
"423";"";"";"";.;""
"424";"";"";"";.;""
"425";"";"";"";.;""
"426";"";"";"";.;""
"427";"";"";"";.;""
"428";"";"";"";.;""
"429";"";"";"";.;""
"430";"";"";"";.;""
"431";"";"";"";.;""
"432";"";"";"";.;""
"433";"";"";"";.;""
"434";"";"";"";.;""
"435";"";"";"";.;""
"436";"";"";"";.;""
"437";"";"";"";.;""
"438";"";"";"";.;""
"439";"";"";"";.;""
"440";"";"";"";.;""
"441";"";"";"";.;""
"442";"";"";"";.;""
"443";"";"";"";.;""
"444";"";"";"";.;""
"445";"";"";"";.;""
"446";"";"";"";.;""
"447";"";"";"";.;""
"448";"";"";"";.;""
"449";"";"";"";.;""
"450";"";"";"";.;""
"451";"";"";"";.;""
"452";"";"";"";.;""
"453";"";"";"";.;""
"454";"";"";"";.;""
"455";"";"";"";.;""
"456";"";"";"";.;""
"457";"";"";"";.;""
"458";"";"";"";.;""
"459";"";"";"";.;""
"460";"";"";"";.;""
"461";"";"";"";.;""
"462";"";"";"";.;""
"463";"";"";"";.;""
"464";"";"";"";.;""
"465";"";"";"";.;""
"466";"";"";"";.;""
"467";"";"";"";.;""
"468";"";"";"";.;""
"469";"";"";"";.;""
"470";"";"";"";.;""
"471";"";"";"";.;""
"472";"";"";"";.;""
"473";"";"";"";.;""
"474";"";"";"";.;""
"475";"";"";"";.;""
"476";"";"";"";.;""
"477";"";"";"";.;""
"478";"";"";"";.;""
"479";"";"";"";.;""
"480";"";"";"";.;""
"481";"";"";"";.;""
"482";"";"";"";.;""
"483";"";"";"";.;""
"484";"";"";"";.;""
"485";"";"";"";.;""
"486";"";"";"";.;""
"487";"";"";"";.;""
"488";"";"";"";.;""
"489";"";"";"";.;""
"490";"";"";"";.;""
"491";"";"";"";.;""
"492";"";"";"";.;""
"493";"";"";"";.;""
"494";"";"";"";.;""
"495";"";"";"";.;""
"496";"";"";"";.;""
"497";"";"";"";.;""
"498";"";"";"";.;""
"499";"";"";"";.;""
"500";"";"";"";.;""
"501";"";"";"";.;""
"502";"";"";"";.;""
"503";"";"";"";.;""
"504";"";"";"";.;""
"505";"";"";"";.;""
"506";"";"";"";.;""
"507";"";"";"";.;""
"508";"";"";"";.;""
"509";"";"";"";.;""
"510";"";"";"";.;""
"511";"";"";"";.;""
"512";"";"";"";.;""
"513";"";"";"";.;""
"514";"";"";"";.;""
"515";"";"";"";.;""
"516";"";"";"";.;""
"517";"";"";"";.;""
"518";"";"";"";.;""
"519";"";"";"";.;""
"520";"";"";"";.;""
"521";"";"";"";.;""
"522";"";"";"";.;""
"523";"";"";"";.;""
"524";"";"";"";.;""
"525";"";"";"";.;""
"526";"";"";"";.;""
"527";"";"";"";.;""
"528";"";"";"";.;""
"529";"";"";"";.;""
"530";"";"";"";.;""
"531";"";"";"";.;""
"532";"";"";"";.;""
"533";"";"";"";.;""
"534";"";"";"";.;""
"535";"";"";"";.;""
"536";"";"";"";.;""
"537";"";"";"";.;""
"538";"";"";"";.;""
"539";"";"";"";.;""
"540";"";"";"";.;""
"541";"";"";"";.;""
"542";"";"";"";.;""
"543";"";"";"";.;""
"544";"";"";"";.;""
"545";"";"";"";.;""
"546";"";"";"";.;""
"547";"";"";"";.;""
"548";"";"";"";.;""
"549";"";"";"";.;""
"550";"";"";"";.;""
"551";"";"";"";.;""
"552";"";"";"";.;""
"553";"";"";"";.;""
"554";"";"";"";.;""
"555";"";"";"";.;""
"556";"";"";"";.;""
"557";"";"";"";.;""
"558";"";"";"";.;""
"559";"";"";"";.;""
"560";"";"";"";.;""
"561";"";"";"";.;""
"562";"";"";"";.;""
"563";"";"";"";.;""
"564";"";"";"";.;""
"565";"";"";"";.;""
"566";"";"";"";.;""
"567";"";"";"";.;""
"568";"";"";"";.;""
"569";"";"";"";.;""
"570";"";"";"";.;""
"571";"";"";"";.;""
"572";"";"";"";.;""
"573";"";"";"";.;""
"574";"";"";"";.;""
"575";"";"";"";.;""
"576";"";"";"";.;""
"577";"";"";"";.;""
"578";"";"";"";.;""
"579";"";"";"";.;""
"580";"";"";"";.;""
"581";"";"";"";.;""
"582";"";"";"";.;""
"583";"";"";"";.;""
"584";"";"";"";.;""
"585";"";"";"";.;""
"586";"";"";"";.;""
"587";"";"";"";.;""
"588";"";"";"";.;""
"589";"";"";"";.;""
"590";"";"";"";.;""
"591";"";"";"";.;""
"592";"";"";"";.;""
"593";"";"";"";.;""
"594";"";"";"";.;""
"595";"";"";"";.;""
"596";"";"";"";.;""
"597";"";"";"";.;""
"598";"";"";"";.;""
"599";"";"";"";.;""
"600";"";"";"";.;""
"601";"";"";"";.;""
"602";"";"";"";.;""
"603";"";"";"";.;""
"604";"";"";"";.;""
"605";"";"";"";.;""
"606";"";"";"";.;""
"607";"";"";"";.;""
"608";"";"";"";.;""
"609";"";"";"";.;""
"610";"";"";"";.;""
"611";"";"";"";.;""
"612";"";"";"";.;""
"613";"";"";"";.;""
"614";"";"";"";.;""
"615";"";"";"";.;""
"616";"";"";"";.;""
"617";"";"";"";.;""
"618";"";"";"";.;""
"619";"";"";"";.;""
"620";"";"";"";.;""
"621";"";"";"";.;""
"622";"";"";"";.;""
"623";"";"";"";.;""
"624";"";"";"";.;""
"625";"";"";"";.;""
"626";"";"";"";.;""
"627";"";"";"";.;""
"628";"";"";"";.;""
"629";"";"";"";.;""
"630";"";"";"";.;""
"631";"";"";"";.;""
"632";"";"";"";.;""
"633";"";"";"";.;""
"634";"";"";"";.;""
"635";"";"";"";.;""
"636";"";"";"";.;""
"637";"";"";"";.;""
"638";"";"";"";.;""
"639";"";"";"";.;""
"640";"";"";"";.;""
"641";"";"";"";.;""
"642";"";"";"";.;""
"643";"";"";"";.;""
"644";"";"";"";.;""
"645";"";"";"";.;""
"646";"";"";"";.;""
"647";"";"";"";.;""
"648";"";"";"";.;""
"649";"";"";"";.;""
"650";"";"";"";.;""
"651";"";"";"";.;""
"652";"";"";"";.;""
"653";"";"";"";.;""
"654";"";"";"";.;""
"655";"";"";"";.;""
"656";"";"";"";.;""
"657";"";"";"";.;""
"658";"";"";"";.;""
"659";"";"";"";.;""
"660";"";"";"";.;""
"661";"";"";"";.;""
"662";"";"";"";.;""
"663";"";"";"";.;""
"664";"";"";"";.;""
"665";"";"";"";.;""
"666";"";"";"";.;""
"667";"";"";"";.;""
"668";"";"";"";.;""
"669";"";"";"";.;""
"670";"";"";"";.;""
"671";"";"";"";.;""
"672";"";"";"";.;""
"673";"";"";"";.;""
"674";"";"";"";.;""
"675";"";"";"";.;""
"676";"";"";"";.;""
"677";"";"";"";.;""
"678";"";"";"";.;""
"679";"";"";"";.;""
"680";"";"";"";.;""
"681";"";"";"";.;""
"682";"";"";"";.;""
"683";"";"";"";.;""
"684";"";"";"";.;""
"685";"";"";"";.;""
"686";"";"";"";.;""
"687";"";"";"";.;""
"688";"";"";"";.;""
"689";"";"";"";.;""
"690";"";"";"";.;""
"691";"";"";"";.;""
"692";"";"";"";.;""
"693";"";"";"";.;""
"694";"";"";"";.;""
"695";"";"";"";.;""
"696";"";"";"";.;""
"697";"";"";"";.;""
"698";"";"";"";.;""
"699";"";"";"";.;""
"700";"";"";"";.;""
"701";"";"";"";.;""
"702";"";"";"";.;""
"703";"";"";"";.;""
"704";"";"";"";.;""
"705";"";"";"";.;""
"706";"";"";"";.;""
"707";"";"";"";.;""
"708";"";"";"";.;""
"709";"";"";"";.;""
"710";"";"";"";.;""
"711";"";"";"";.;""
"712";"";"";"";.;""
"713";"";"";"";.;""
"714";"";"";"";.;""
"715";"";"";"";.;""
"716";"";"";"";.;""
"717";"";"";"";.;""
"718";"";"";"";.;""
"719";"";"";"";.;""
"720";"";"";"";.;""
"721";"";"";"";.;""
"722";"";"";"";.;""
"723";"";"";"";.;""
"724";"";"";"";.;""
"725";"";"";"";.;""
"726";"";"";"";.;""
"727";"";"";"";.;""
"728";"";"";"";.;""
"729";"";"";"";.;""
"730";"";"";"";.;""
"731";"";"";"";.;""
"732";"";"";"";.;""
"733";"";"";"";.;""
"734";"";"";"";.;""
"735";"";"";"";.;""
"736";"";"";"";.;""
"737";"";"";"";.;""
"738";"";"";"";.;""
"739";"";"";"";.;""
"740";"";"";"";.;""
"741";"";"";"";.;""
"742";"";"";"";.;""
"743";"";"";"";.;""
"744";"";"";"";.;""
"745";"";"";"";.;""
"746";"";"";"";.;""
"747";"";"";"";.;""
"748";"";"";"";.;""
"749";"";"";"";.;""
"750";"";"";"";.;""
"751";"";"";"";.;""
"752";"";"";"";.;""
"753";"";"";"";.;""
"754";"";"";"";.;""
"755";"";"";"";.;""
"756";"";"";"";.;""
"757";"";"";"";.;""
"758";"";"";"";.;""
"759";"";"";"";.;""
"760";"";"";"";.;""
"761";"";"";"";.;""
"762";"";"";"";.;""
"763";"";"";"";.;""
"764";"";"";"";.;""
"765";"";"";"";.;""
"766";"";"";"";.;""
"767";"";"";"";.;""
"768";"";"";"";.;""
"769";"";"";"";.;""
"770";"";"";"";.;""
"771";"";"";"";.;""
"772";"";"";"";.;""
"773";"";"";"";.;""
"774";"";"";"";.;""
"775";"";"";"";.;""
"776";"";"";"";.;""
"777";"";"";"";.;""
"778";"";"";"";.;""
"779";"";"";"";.;""
"780";"";"";"";.;""
"781";"";"";"";.;""
"782";"";"";"";.;""
"783";"";"";"";.;""
"784";"";"";"";.;""
"785";"";"";"";.;""
"786";"";"";"";.;""
"787";"";"";"";.;""
"788";"";"";"";.;""
"789";"";"";"";.;""
"790";"";"";"";.;""
"791";"";"";"";.;""
"792";"";"";"";.;""
"793";"";"";"";.;""
"794";"";"";"";.;""
